starty,startx,endy,endx,val
39.123277699999996,-76.7746772,39.1232593,-76.7746824,0
39.1232593,-76.7746824,39.1232724,-76.7746772,0
39.1232724,-76.7746772,39.123273399999995,-76.7746724,0
39.1233154,-76.7771451,39.1244445,-76.7760722,0
39.1244445,-76.7760722,39.1244301,-76.7761017,0
39.1244301,-76.7761017,39.1244176,-76.7761138,0
39.1244176,-76.7761138,39.1244023,-76.7761263,11.2742919921875
39.1244023,-76.7761263,39.1243878,-76.7761381,13.588668823242188
39.1243878,-76.7761381,39.1243712,-76.7761515,43.598419189453125
39.1243712,-76.7761515,39.1243593,-76.7761077,13.998855590820312
39.1243593,-76.7761077,39.1243487,-76.776068,0
39.1243224,-76.7759686,39.1243151,-76.7759408,0
39.1243151,-76.7759408,39.1243083,-76.7759152,0
39.1243083,-76.7759152,39.124302,-76.7758914,0
39.124302,-76.7758914,39.1242962,-76.7758694,0
39.1242962,-76.7758694,39.1242908,-76.7758489,0
39.1242908,-76.7758489,39.1242857,-76.7758298,0
39.1242857,-76.7758298,39.124281,-76.775812,0
39.124281,-76.775812,39.1242766,-76.7757952,0
39.1242766,-76.7757952,39.1242724,-76.7757795,0
39.1242724,-76.7757795,39.1242685,-76.7757647,0
39.1242685,-76.7757647,39.1242648,-76.7757508,0
39.1242648,-76.7757508,39.1242613,-76.7757376,0
39.1242613,-76.7757376,39.124258,-76.7757251,0
39.124258,-76.7757251,39.1242549,-76.7757133,0
39.1243487,-76.776068,39.1243392,-76.7760318,0
39.1243392,-76.7760318,39.1243304,-76.7759988,0
39.1243304,-76.7759988,39.1243224,-76.7759686,0
39.1242549,-76.7757133,39.124252,-76.7757022,0
39.124252,-76.7757022,39.1242492,-76.7756915,0
39.1242492,-76.7756915,39.1242465,-76.7756814,0
39.1242465,-76.7756814,39.1242439,-76.7756718,0
39.1242439,-76.7756718,39.1242415,-76.7756627,0
39.1242415,-76.7756627,39.1242392,-76.7756539,2.5872955322265625
39.1242392,-76.7756539,39.124237,-76.7756455,0
39.124237,-76.7756455,39.1242349,-76.7756376,0
39.1242349,-76.7756376,39.1242328,-76.7756299,0
39.1242328,-76.7756299,39.1242309,-76.7756226,0
39.1242309,-76.7756226,39.124229,-76.7756155,0
39.124229,-76.7756155,39.1242273,-76.7756088,0
39.1242273,-76.7756088,39.1242255,-76.7756023,0
39.1242255,-76.7756023,39.1242239,-76.7755961,0
39.1242239,-76.7755961,39.1242223,-76.7755901,0
39.1242223,-76.7755901,39.1257591,-76.7739485,4.13507080078125
39.1257591,-76.7739485,39.1257708,-76.77394,0
39.1257708,-76.77394,39.1257807,-76.7739346,0
39.1257807,-76.7739346,39.1270869,-76.7743131,53.114044189453125
39.1270869,-76.7743131,39.127087,-76.774313,0
39.127087,-76.774313,39.1318873,-76.760423,56.40899658203125
39.1318873,-76.760423,39.1351084,-76.767413,2.4696197509765625
39.1351084,-76.767413,39.1359555,-76.7682814,50.69671630859375
39.1359555,-76.7682814,39.1424279,-76.7631272,298.40687561035156
39.1424279,-76.7631272,39.142434,-76.7631291,2.9795379638671875
39.142434,-76.7631291,39.1424467,-76.7631245,94.11375427246094
39.1424467,-76.7631245,39.1424584,-76.7631223,0
